Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,132064000,13-10-2020
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,28-11-2021
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,11-07-2022
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,20-06-2023
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,24-05-2024
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,06-07-2021
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,23-02-2020
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,26-01-2020
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,04-11-2023
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,05-09-2021
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,07-08-2020
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,5813000,31-05-2022
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,24-11-2023
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,28-02-2023
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,05-03-2021
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,12-09-2021
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,09-05-2023
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,15-02-2025
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,14-08-2023
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,11-11-2022
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,18181000,04-11-2020
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,04-02-2024
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,16-06-2022
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,02-12-2020
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,08-09-2023
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,25-02-2021
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,29-10-2021
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,03-10-2021
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,24-07-2024
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,09-01-2021
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,25-07-2023
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,18-01-2021
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,5402000,03-02-2021
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,18-06-2020
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,10-12-2020
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,17-01-2023
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,20-05-2022
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,30-07-2024
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,19-04-2023
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,07-07-2024
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,336000,01-07-2021
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,10-11-2024
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,28-03-2023
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,01-12-2024
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,27-07-2022
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,23-08-2024
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,06-07-2023
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,05-02-2025
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,27-05-2021
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,26-03-2024
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,08-06-2020
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,27-10-2024
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,09-12-2024
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,18-01-2020
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,15-06-2023
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,29-05-2022
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,16-01-2024
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,09-11-2022
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,18-08-2020
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,27-09-2020
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,08-05-2025
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,03-05-2020
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,03-01-2023
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,16-04-2023
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,08-03-2025
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,20-12-2023
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,11-08-2024
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,11-07-2021
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,20-10-2022
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,08-11-2022
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,01-01-2021
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,08-06-2020
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,07-05-2025
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,17-01-2020
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000,26-04-2023
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,26-07-2023
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,02-05-2021
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,30-11-2022
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,08-03-2023
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,15-02-2024
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,04-08-2020
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,06-08-2022
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,07-09-2024
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,16-06-2021
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,04-08-2022
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,31-03-2022
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,08-02-2021
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,06-06-2022
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,02-07-2022
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,28-06-2020
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,5381000,30-06-2024
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,434000,04-03-2023
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,1604000,24-08-2022
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,24655000,29-06-2021
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,27-09-2024
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,05-12-2023
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,271000,01-10-2022
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000,02-01-2020
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,1612000,29-10-2020
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,208000,04-02-2022
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,71839000,13-06-2022
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000,11-11-2023
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,78480000,27-04-2024
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000,08-06-2020
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,05-03-2021
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,104000,09-02-2024
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,25829000,03-06-2024
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,621000,14-10-2021
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,65000,02-06-2020
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000,31-08-2023
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,1129000,18-04-2022
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,1065000,16-09-2024
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000,17-07-2020
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,141000,25-03-2022
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,77000,18-12-2024
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,653000,04-07-2021
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000,29-03-2024
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,10764000,27-04-2021
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,753000,28-04-2025
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,127000,09-06-2020
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,191000,24-03-2022
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,1617000,09-05-2022
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,7635000,25-07-2020
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,8890000,26-08-2022
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,26-12-2024
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,11-02-2020
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,117757000,03-11-2023
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,877000,03-05-2022
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000,11-11-2024
NextSense_395,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,1549000,09-10-2024
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,13-04-2020
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,16426000,10-09-2020
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,798000,30-11-2020
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000,14-10-2024
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,6655000,17-11-2022
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,230417000,03-04-2021
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,320000,10-02-2022
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,671000,28-07-2020
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global Management",Seed,163000,09-08-2020
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,1360000,25-11-2022
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,14710000,28-08-2021
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,20596000,03-12-2021
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,1411000,14-12-2020
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,16-01-2025
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,47487000,09-11-2021
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,1664000,23-07-2023
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,13122000,26-04-2022
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000,02-01-2025
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000,28-04-2020
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000,15-05-2024
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000,18-03-2020
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000,09-01-2020
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000,13-05-2020
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global Management",Series A,7671000,22-11-2021
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,927000,31-01-2025
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,920000,20-01-2022
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,17-09-2023
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,25-01-2023
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000,17-09-2023
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,177214000,02-08-2020
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,255000,13-02-2021
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,13-10-2022
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000,06-09-2024
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,6917000,26-07-2020
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000,23-07-2024
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000,13-07-2020
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000,10-05-2025
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,126000,23-07-2022
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global Management,Seed,68000,27-01-2024
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,34916000,06-01-2021
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,1218000,26-09-2022
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,48819000,26-01-2020
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,6770000,05-12-2023
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,67000,19-08-2024
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,02-06-2020
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,289340000,10-06-2020
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,199000,15-10-2022
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,29-07-2023
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000,30-07-2024
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,69115000,14-01-2022
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,14442000,04-02-2022
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,805000,04-09-2020
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000,11-09-2024
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,1254000,09-04-2020
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000,27-07-2024
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,10-04-2024
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000,04-12-2023
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,1416000,02-07-2023
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000,07-04-2024
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,15-05-2022
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global Management,Seed,52000,27-05-2024
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,71157000,07-03-2020
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,58010000,29-02-2024
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,131000,02-06-2024
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,7000,14-12-2023
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,548000,30-10-2023
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,557000,27-05-2022
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,430000,24-12-2023
AgriSense,Retail,Fashion,Ahmedabad,"A91 Partners, Bessemer Venture Partners",Series D,458292000,08-09-2021
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2760000,13-05-2025
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2168000,07-07-2020
Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global Management",Pre-Series A,739000,23-03-2021
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,10000,10-06-2023
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,1746000,22-01-2024
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,21000,13-01-2025
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000,14-05-2020
Meesho,Enterprise,Automation,Chennai,"IFC, Zodius Capital",Series D,55224000,25-02-2021
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,11170000,10-11-2021
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,350000,09-08-2024
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,14717000,04-02-2020
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000,03-10-2024
AeroAnalytics,Retail,Fashion,Hyderabad,"Y Combinator, Zodius Capital",Series A,4481000,30-07-2021
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,1786000,09-03-2024
Urban Company,RealEstate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,21323000,15-02-2025
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,426000,26-01-2023
FoodSolutions,RealEstate,Rental Tech,Delhi,"Lightspeed India, Zodius Capital",Seed,651000,28-03-2021
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,3424000,30-01-2023
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,28486000,24-09-2022
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,432000,11-07-2022
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,11477000,16-01-2022
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,22619000,29-12-2023
FreshBox,Consumer Electronics,Wearables,Pune,"Accel, Ribbit Capital",Series C,42802000,24-09-2022
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,1666000,11-02-2024
ClearDekho,RealEstate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,11144000,24-04-2024
Swiggy,Mobility,Micro Mobility,Kolkata,Kalaari Capital,Series B,17686000,31-10-2020
Cars24,HealthTech,Health Analytics,Noida,Falcon Edge,Series A,5362000,23-03-2022
MediWorks,Retail,Fashion,Delhi,"A91 Partners, Blume Ventures",Series C,42389000,14-10-2020
GreenConnect,Consumer Electronics,Wearables,Bengaluru,Tiger Global,Seed,100000,25-09-2022
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,3510000,08-06-2024
AutoFlow,FinTech,WealthTech,Mumbai,"Matrix Partners India, Zodius Capital",Series B,13318000,03-12-2022
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,383000,31-08-2023
UrbanSolutions,EdTech,Coding Bootcamp,Pune,"Bessemer Venture Partners, LCatterton",Series C,24686000,07-12-2021
MediHive,HealthTech,Health Analytics,Delhi,"Blume Ventures, Elevation Capital, Nexus Venture Partners",Seed,1820000,19-11-2022
Housejoy,RealEstate,PropTech,Chennai,Mirae Asset,Series C,289004000,15-01-2024
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,100000,29-03-2020
BharatPe,HealthTech,Telemedicine,Ahmedabad,LCatterton,Seed,361000,06-12-2020
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,113169000,30-01-2024
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,9059000,15-06-2024
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,6387000,20-05-2020
LogiSense,EdTech,Coding Bootcamp,Delhi,"LCatterton, Omidyar Network",Series A,1553000,29-12-2020
AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,77000,09-01-2023
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,438231000,29-11-2023
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,261867000,02-02-2025
PharmEasy,Enterprise,Analytics,Hyderabad,"Matrix Partners India, Sequoia Capital India",Series A,7137000,18-01-2023
MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,411000,24-02-2021
DriveLoop,Logistics,Supply Chain,Noida,"Elevation Capital, Prosus Ventures",Pre-Series A,262000,18-01-2022
CoreFlow,Retail,Fashion,Kolkata,"Mirae Asset, Tiger Global Management",Seed,1560000,19-02-2023
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,367311000,12-09-2023
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,1130000,28-05-2024
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,21480000,13-08-2024
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global Management, Y Combinator",Seed,200000,18-03-2020
SmartTech,AgriTech,Supply Chain,Delhi,Lightspeed India,Series B,47312000,18-06-2022
SmartTech,Retail,Fashion,Noida,"Blume Ventures, Sequoia Capital India",Series A,14492000,19-04-2021
MediWorks,HealthTech,Telemedicine,Hyderabad,"Falcon Edge, Kalaari Capital, Omidyar Network",Series C,30056000,24-12-2021
CRED,E-commerce,Grocery,Hyderabad,"Tiger Global Management, Y Combinator",Series B,25964000,19-02-2023
SkillSolutions,EdTech,Coding Bootcamp,Chennai,Kalaari Capital,Series A,2805000,18-06-2021
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,1790000,02-07-2024
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,195631000,31-03-2024
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global Management",Seed,1102000,18-05-2020
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,3558000,06-12-2023
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,231000,22-03-2025
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,137000,31-10-2023
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,62000,05-09-2024
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,67000,16-10-2023
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,9037000,05-10-2022
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,1998000,24-06-2024
