Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,132064000,2020-10-13
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,2021-11-28
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,2022-07-11
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,2023-06-20
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,2024-05-24
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,2021-07-06
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,2023-11-04
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,2021-09-05
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,2020-08-07
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,5813000,2022-05-31
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,2023-11-24
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,2023-02-28
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,2021-03-05
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,2021-09-12
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,2023-05-09
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,2025-02-15
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,2023-08-14
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,2022-11-11
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,18181000,2020-11-04
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,2024-02-04
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,2022-06-16
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,2020-12-02
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,2023-09-08
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,2021-02-25
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,2021-10-29
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,2024-07-24
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,2021-01-09
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,2023-07-25
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,2021-01-18
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,5402000,2021-02-03
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,2020-06-18
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,2020-12-10
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,2023-01-17
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,2022-05-20
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,2024-07-30
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,2023-04-19
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,2024-07-07
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,336000,2021-07-01
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,2024-11-10
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,2023-03-28
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,2024-12-01
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,2022-07-27
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,2024-08-23
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,2023-07-06
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,2021-05-27
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,2024-03-26
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,2020-06-08
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,2024-10-27
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,2024-12-09
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,2020-01-18
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,2023-06-15
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,2024-01-16
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,2022-11-09
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,2020-08-18
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,2020-09-27
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,2025-05-08
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,2020-05-03
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,2023-01-03
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,2023-04-16
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,2025-03-08
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,2023-12-20
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,2024-08-11
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,2021-07-11
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,2022-10-20
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,2022-11-08
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,2020-06-08
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,2025-05-07
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,2020-01-17
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000,2023-04-26
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,2023-07-26
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,2021-05-02
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,2022-11-30
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,2023-03-08
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,2024-02-15
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,2020-08-04
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,2022-08-06
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,2021-06-16
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,2022-08-04
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,2022-03-31
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,2021-02-08
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,2022-06-06
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,2022-07-02
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,2020-06-28
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,5381000,2024-06-30
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,434000,2023-03-04
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,1604000,2022-08-24
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,24655000,2021-06-29
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,2024-09-27
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,2023-12-05
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,271000,2022-10-01
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000,2020-01-02
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,1612000,2020-10-29
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,208000,2022-02-04
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,71839000,2022-06-13
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000,2023-11-11
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,78480000,2024-04-27
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000,2020-06-08
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,2021-03-05
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,104000,2024-02-09
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,25829000,2024-06-03
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,621000,2021-10-14
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,65000,2020-06-02
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000,2023-08-31
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,1129000,2022-04-18
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,1065000,2024-09-16
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000,2020-07-17
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,141000,2022-03-25
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,77000,2024-12-18
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,653000,2021-07-04
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000,2024-03-29
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,10764000,2021-04-27
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,753000,2025-04-28
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,127000,2020-06-09
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,191000,2022-03-24
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,1617000,2022-05-09
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,7635000,2020-07-25
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,8890000,2022-08-26
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,2024-12-26
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,2020-02-11
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,117757000,2023-11-03
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,877000,2022-05-03
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000,2024-11-11
NextSense_395,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,1549000,2024-10-09
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,2020-04-13
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,16426000,2020-09-10
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,798000,2020-11-30
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000,2024-10-14
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,6655000,2022-11-17
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,230417000,2021-04-03
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,320000,2022-02-10
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,671000,2020-07-28
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global Management",Seed,163000,2020-08-09
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,1360000,2022-11-25
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,14710000,2021-08-28
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,20596000,2021-12-03
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,1411000,2020-12-14
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,2025-01-16
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,47487000,2021-11-09
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,1664000,2023-07-23
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,13122000,2022-04-26
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000,2025-01-02
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000,2020-04-28
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000,2024-05-15
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000,2020-03-18
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000,2020-01-09
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000,2020-05-13
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global Management",Series A,7671000,2021-11-22
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,927000,2025-01-31
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,920000,2022-01-20
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,2023-09-17
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,2023-01-25
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000,2023-09-17
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,177214000,2020-08-02
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,255000,2021-02-13
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,2022-10-13
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000,2024-09-06
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,6917000,2020-07-26
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000,2024-07-23
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000,2020-07-13
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000,2025-05-10
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,126000,2022-07-23
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global Management,Seed,68000,2024-01-27
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,34916000,2021-01-06
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,1218000,2022-09-26
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,48819000,2020-01-26
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,6770000,2023-12-05
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,67000,2024-08-19
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,2020-06-02
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,289340000,2020-06-10
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,199000,2022-10-15
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,2023-07-29
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000,2024-07-30
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,69115000,2022-01-14
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,14442000,2022-02-04
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,805000,2020-09-04
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000,2024-09-11
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,1254000,2020-04-09
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000,2024-07-27
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,2024-04-10
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000,2023-12-04
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,1416000,2023-07-02
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000,2024-04-07
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,2022-05-15
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global Management,Seed,52000,2024-05-27
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,71157000,2020-03-07
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,58010000,2024-02-29
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,131000,2024-06-02
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,7000,2023-12-14
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,548000,2023-10-30
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,557000,2022-05-27
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,430000,2023-12-24
AgriSense,Retail,Fashion,Ahmedabad,"A91 Partners, Bessemer Venture Partners",Series D,458292000,2021-09-08
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2760000,2025-05-13
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2168000,2020-07-07
Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global Management",Pre-Series A,739000,2021-03-23
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,10000,2023-06-10
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,1746000,2024-01-22
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,21000,2025-01-13
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000,2020-05-14
Meesho,Enterprise,Automation,Chennai,"IFC, Zodius Capital",Series D,55224000,2021-02-25
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,11170000,2021-11-10
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,350000,2024-08-09
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,14717000,2020-02-04
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000,2024-10-03
AeroAnalytics,Retail,Fashion,Hyderabad,"Y Combinator, Zodius Capital",Series A,4481000,2021-07-30
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,1786000,2024-03-09
Urban Company,RealEstate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,21323000,2025-02-15
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,426000,2023-01-26
FoodSolutions,RealEstate,Rental Tech,Delhi,"Lightspeed India, Zodius Capital",Seed,651000,2021-03-28
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,3424000,2023-01-30
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,28486000,2022-09-24
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,432000,2022-07-11
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,11477000,2022-01-16
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,22619000,2023-12-29
FreshBox,Consumer Electronics,Wearables,Pune,"Accel, Ribbit Capital",Series C,42802000,2022-09-24
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,1666000,2024-02-11
ClearDekho,RealEstate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,11144000,2024-04-24
Swiggy,Mobility,Micro Mobility,Kolkata,Kalaari Capital,Series B,17686000,2020-10-31
Cars24,HealthTech,Health Analytics,Noida,Falcon Edge,Series A,5362000,2022-03-23
MediWorks,Retail,Fashion,Delhi,"A91 Partners, Blume Ventures",Series C,42389000,2020-10-14
GreenConnect,Consumer Electronics,Wearables,Bengaluru,Tiger Global,Seed,100000,2022-09-25
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,3510000,2024-06-08
AutoFlow,FinTech,WealthTech,Mumbai,"Matrix Partners India, Zodius Capital",Series B,13318000,2022-12-03
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,383000,2023-08-31
UrbanSolutions,EdTech,Coding Bootcamp,Pune,"Bessemer Venture Partners, LCatterton",Series C,24686000,2021-12-07
MediHive,HealthTech,Health Analytics,Delhi,"Blume Ventures, Elevation Capital, Nexus Venture Partners",Seed,1820000,2022-11-19
Housejoy,RealEstate,PropTech,Chennai,Mirae Asset,Series C,289004000,2024-01-15
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,100000,2020-03-29
BharatPe,HealthTech,Telemedicine,Ahmedabad,LCatterton,Seed,361000,2020-12-06
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,113169000,2024-01-30
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,9059000,2024-06-15
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,6387000,2020-05-20
LogiSense,EdTech,Coding Bootcamp,Delhi,"LCatterton, Omidyar Network",Series A,1553000,2020-12-29
AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,77000,2023-01-09
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,438231000,2023-11-29
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,261867000,2025-02-02
PharmEasy,Enterprise,Analytics,Hyderabad,"Matrix Partners India, Sequoia Capital India",Series A,7137000,2023-01-18
MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,411000,2021-02-24
DriveLoop,Logistics,Supply Chain,Noida,"Elevation Capital, Prosus Ventures",Pre-Series A,262000,2022-01-18
CoreFlow,Retail,Fashion,Kolkata,"Mirae Asset, Tiger Global Management",Seed,1560000,2023-02-19
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,367311000,2023-09-12
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,1130000,2024-05-28
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,21480000,2024-08-13
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global Management, Y Combinator",Seed,200000,2020-03-18
SmartTech,AgriTech,Supply Chain,Delhi,Lightspeed India,Series B,47312000,2022-06-18
SmartTech,Retail,Fashion,Noida,"Blume Ventures, Sequoia Capital India",Series A,14492000,2021-04-19
MediWorks,HealthTech,Telemedicine,Hyderabad,"Falcon Edge, Kalaari Capital, Omidyar Network",Series C,30056000,2021-12-24
CRED,E-commerce,Grocery,Hyderabad,"Tiger Global Management, Y Combinator",Series B,25964000,2023-02-19
SkillSolutions,EdTech,Coding Bootcamp,Chennai,Kalaari Capital,Series A,2805000,2021-06-18
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,1790000,2024-07-02
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,195631000,2024-03-31
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global Management",Seed,1102000,2020-05-18
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,3558000,2023-12-06
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,231000,2025-03-22
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,137000,2023-10-31
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,62000,2024-09-05
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,67000,2023-10-16
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,9037000,2022-10-05
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,1998000,2024-06-24
